Household,avg_income_usd,country,rural_urban,remesa_amount_usd,monthly_remesa_amount,Food,Health,COVID_19,Education,Utilities,ClothesandShoes,Housing,HousingRental,HomePurchase,AgriculturalInputs,BusinessVentures,Saving,MigantsComittments,MigrationLoanDebt,OtherDebts,Other,Tsum_check
350,74.62,GT,1,7.995,3.9975,50.0,,,,30.0,,,,,,,,,,,20.0,100.0
351,7.995,GT,1,15.99,7.995,50.0,30.0,,,20.0,,,,,,,,,,,,100.0
352,1000.0,SLV,1,1000.0,1000.0,25.0,65.0,,,10.0,,,,,,,,,,,,100.0
353,200.0,SLV,1,100.0,50.0,,,,,,,,,,,,,,,,100.0,100.0
354,50.0,SLV,1,50.0,25.0,50.0,,,,50.0,,,,,,,,,,,,100.0
355,240.0,SLV,1,30.0,30.0,80.0,20.0,,,,,,,,,,,,,,,100.0
356,800.0,SLV,1,200.0,400.0,50.0,,,,20.0,,30.0,,,,,,,,,,100.0
357,26.650000000000002,HND,1,26.650000000000002,53.300000000000004,30.0,20.0,,,50.0,,,,,,,,,,,,100.0
358,39.975,HND,1,18.655,3.109166666666667,25.0,,75.0,,,,,,,,,,,,,,100.0
359,14.924,HND,1,11.726,11.726,30.0,50.0,,,,,,,,,,20.0,,,,,100.0
360,23.985,HND,2,6.396000000000001,1.066,75.0,,,25.0,,,,,,,,,,,,,100.0
361,42.64,HND,2,25.584000000000003,4.264,,,,,,,,,,,,,,,,100.0,100.0
362,100.0,SLV,1,50.0,8.333333333333334,60.0,,,,,40.0,,,,,,,,,,,100.0
363,350.0,SLV,1,100.0,33.333333333333336,100.0,,,,,,,,,,,,,,,,100.0
364,500.0,SLV,1,280.0,280.0,80.0,20.0,,,,,,,,,,,,,,,100.0
365,600.0,SLV,1,40.0,20.0,100.0,,,,,,,,,,,,,,,,100.0
366,200.0,SLV,1,100.0,100.0,10.0,80.0,,,,10.0,,,,,,,,,,,100.0
367,600.0,SLV,2,500.0,1000.0,50.0,25.0,,,25.0,,,,,,,,,,,,100.0
368,1000.0,SLV,2,800.0,800.0,,70.0,,,,,,30.0,,,,,,,,,100.0
369,200.0,SLV,2,100.0,100.0,70.0,,,,30.0,,,,,,,,,,,,100.0
370,100.0,SLV,2,100.0,100.0,80.0,,,,20.0,,,,,,,,,,,,100.0
371,300.0,SLV,2,225.0,75.0,,,,100.0,,,,,,,,,,,,,100.0
372,200.0,SLV,2,200.0,33.333333333333336,60.0,,,,40.0,,,,,,,,,,,,100.0
373,20.0,SLV,2,50.0,8.333333333333334,60.0,40.0,,,,,,,,,,,,,,,100.0
374,475.0,SLV,2,300.0,100.0,,100.0,,,,,,,,,,,,,,,100.0
375,150.0,SLV,1,90.0,15.0,100.0,,,,,,,,,,,,,,,,100.0
376,800.0,SLV,1,100.0,100.0,,,,,100.0,,,,,,,,,,,,100.0
377,250.0,SLV,1,100.0,100.0,80.0,,,,20.0,,,,,,,,,,,,100.0
378,275.0,SLV,1,200.0,200.0,,100.0,,,,,,,,,,,,,,,100.0
379,210.0,SLV,1,150.0,150.0,60.0,,,40.0,,,,,,,,,,,,,100.0
